Date,Time,Data ID,User ID,°C,mmHg,DO %,DO mg/L,SPC-uS/cm,C-uS/cm,SAL-PSU,pH,ORP mV,Chl ug/L,Chl RFU,PC ug/L,PC RFU,DEP m,ALT m
10/30/2024,11:37:17AM,test,TNL,11.3,766.5,98.3,10.75,87.7,64.8,0.04,7.38,137.6,3.45,0.94,1.17,1.21,0.0,46.0
10/30/2024,11:37:20AM,test,TNL,11.3,766.5,97.2,10.64,87.8,64.8,0.04,7.39,137.4,3.65,0.99,0.92,0.96,0.0,45.7
10/30/2024,11:37:23AM,test,TNL,11.3,766.4,96.1,10.53,87.8,64.8,0.04,7.39,137.2,3.65,0.99,0.68,0.72,0.0,45.3
10/30/2024,11:37:26AM,test,TNL,11.3,766.5,95.2,10.43,87.8,64.7,0.04,7.39,136.9,3.62,0.98,0.52,0.57,0.009,45.4
10/30/2024,11:37:29AM,test,TNL,11.3,766.4,94.4,10.35,87.7,64.7,0.04,7.39,136.7,3.62,0.98,0.53,0.58,0.021,45.0
10/30/2024,11:37:32AM,test,TNL,11.2,766.4,93.7,10.28,87.7,64.7,0.04,7.39,136.5,3.71,1.01,0.53,0.57,0.054,45.4
10/30/2024,11:37:35AM,test,TNL,11.2,766.5,93.2,10.21,87.7,64.6,0.04,7.39,136.1,3.79,1.03,0.53,0.57,0.465,45.4
10/30/2024,11:37:38AM,test,TNL,11.2,766.5,92.6,10.15,87.7,64.6,0.04,7.39,135.6,3.79,1.03,0.51,0.56,0.448,45.1
10/30/2024,11:37:41AM,test,TNL,11.2,766.4,92.1,10.1,87.7,64.6,0.04,7.39,135.3,3.79,1.03,0.51,0.56,0.658,45.1
10/30/2024,11:37:44AM,test,TNL,11.2,766.3,91.6,10.05,87.7,64.6,0.04,7.39,135.0,3.93,1.07,0.5,0.55,0.796,45.2
10/30/2024,11:37:47AM,test,TNL,11.2,766.4,91.2,10.01,87.8,64.6,0.04,7.38,134.8,3.85,1.05,0.47,0.52,0.867,45.5
10/30/2024,11:37:50AM,test,TNL,11.2,766.5,90.8,9.97,87.8,64.6,0.04,7.38,134.6,4.09,1.11,0.48,0.52,0.923,45.5
10/30/2024,11:37:53AM,test,TNL,11.1,766.5,90.5,9.94,87.8,64.5,0.04,7.38,134.4,5.55,1.51,0.48,0.52,0.996,45.8
10/30/2024,11:37:56AM,test,TNL,11.1,766.5,90.2,9.92,87.8,64.5,0.04,7.37,134.2,15.11,4.13,0.5,0.55,1.831,45.9
10/30/2024,11:37:59AM,test,TNL,11.1,766.4,90.1,9.91,87.8,64.4,0.04,7.37,134.0,12.76,3.49,0.73,0.77,1.78,45.7
10/30/2024,11:38:02AM,test,TNL,11.1,766.5,90.0,9.9,87.8,64.4,0.04,7.37,133.8,23.4,6.4,1.3,1.34,1.839,45.5
10/30/2024,11:38:05AM,test,TNL,11.1,766.5,89.9,9.9,87.8,64.4,0.04,7.37,133.6,16.37,4.48,1.99,2.02,1.849,45.5
10/30/2024,11:38:08AM,test,TNL,11.1,766.5,89.8,9.89,87.8,64.4,0.04,7.36,133.4,17.36,4.75,2.55,2.57,1.848,45.4
10/30/2024,11:38:11AM,test,TNL,11.1,766.5,89.7,9.87,87.8,64.4,0.04,7.36,133.3,7.35,2.01,2.93,2.94,1.842,44.6
10/30/2024,11:38:14AM,test,TNL,11.1,766.5,89.5,9.85,87.8,64.4,0.04,7.36,133.2,5.04,1.37,3.11,3.12,1.808,44.1
10/30/2024,11:38:17AM,test,TNL,11.1,766.5,89.3,9.83,87.8,64.4,0.04,7.36,133.1,2.7,0.73,2.91,2.93,1.222,44.3
10/30/2024,11:38:20AM,test,TNL,11.1,766.5,89.2,9.82,87.8,64.4,0.04,7.36,133.1,2.74,0.74,0.41,0.45,0.815,44.3
10/30/2024,11:38:23AM,test,TNL,11.1,766.6,89.2,9.81,87.8,64.5,0.04,7.36,133.2,3.84,1.04,0.47,0.52,0.727,44.4
10/30/2024,11:38:26AM,test,TNL,11.1,766.5,89.2,9.81,87.8,64.5,0.04,7.35,133.2,3.78,1.03,0.52,0.56,0.615,44.3
10/30/2024,11:38:29AM,test,TNL,11.2,766.5,89.2,9.8,87.8,64.6,0.04,7.35,133.2,3.78,1.03,0.53,0.58,0.551,43.8
10/30/2024,11:38:32AM,test,TNL,11.2,766.5,89.2,9.79,87.7,64.6,0.04,7.35,133.3,3.67,1.0,0.54,0.59,0.446,43.5
10/30/2024,11:38:35AM,test,TNL,11.2,766.5,89.1,9.77,87.6,64.6,0.04,7.34,133.3,3.51,0.95,0.53,0.58,0.362,43.4
10/30/2024,11:38:38AM,test,TNL,11.2,766.5,89.0,9.76,49.3,36.3,0.02,7.34,133.3,3.42,0.93,0.54,0.58,0.312,43.0
